variant,task_id,task_seed,direction,difficulty,true_pair_count,success,strict_success,severe_failure,steps,crossings,total_volume_ml,final_abs_error,controller_ms_per_step,benchmark_seed
no_required_volume_term,26,5000101,acid,medium,1,1,1,0,4,2,4.38,0.04354743530917471,28.954024997801753,101
linear_clip_instead_of_tanh,26,5000101,acid,medium,1,1,0,0,4,2,4.5200000000000005,0.0768015575024501,33.366550002028816,101
full,27,5000101,acid,medium,2,1,0,0,2,0,6.42,0.06633996028938682,88.57470000293688,101
no_ph_rate_bonus,27,5000101,acid,medium,2,1,1,0,3,1,6.59,0.020786380296717866,79.9080999980409,101
no_uncertainty_factor,27,5000101,acid,medium,2,1,0,0,2,1,6.68,0.07245798596000252,94.1863999942143,101
no_buffering_factor,27,5000101,acid,medium,2,1,1,0,2,0,6.47,0.04198437551012901,104.60850000163191,101
no_required_volume_term,27,5000101,acid,medium,2,1,0,0,3,0,6.359999999999999,0.09432989688455073,80.44426666795819,101
linear_clip_instead_of_tanh,27,5000101,acid,medium,2,1,1,0,2,1,6.61,0.03190322714144056,89.07019999605836,101
full,28,5000101,acid,medium,3,1,0,0,8,0,10.729999999999999,0.07090175217162109,22.943675002352393,101
no_ph_rate_bonus,28,5000101,acid,medium,3,1,0,0,11,0,10.530000000000003,0.09244433898095838,28.776700000559106,101
no_uncertainty_factor,28,5000101,acid,medium,3,1,0,0,8,0,10.75,0.06873541961532492,25.77048749935784,101
no_buffering_factor,28,5000101,acid,medium,3,1,0,0,6,0,10.59,0.086004128590635,48.50799999864345,101
no_required_volume_term,28,5000101,acid,medium,3,1,0,0,8,0,10.490000000000002,0.09672741363149395,46.827262500301,101
linear_clip_instead_of_tanh,28,5000101,acid,medium,3,1,0,0,8,0,10.74,0.06981886786125724,30.545875001735112,101
full,29,5000101,base,near,2,1,0,0,5,0,6.55,0.07613456779987704,48.0466000008164,101
no_ph_rate_bonus,29,5000101,base,near,2,1,0,0,13,0,6.32,0.09238986335158206,16.94046923120578,101
no_uncertainty_factor,29,5000101,base,near,2,1,1,0,5,0,6.9399999999999995,0.0486512256920788,37.450819996593054,101
no_buffering_factor,29,5000101,base,near,2,1,1,0,6,0,6.970000000000001,0.04654103282062483,36.11900000275151,101
no_required_volume_term,29,5000101,base,near,2,1,0,0,9,0,6.41,0.08602473665633337,60.27673333220365,101
linear_clip_instead_of_tanh,29,5000101,base,near,2,1,0,0,5,0,6.6000000000000005,0.07260557970401482,44.3035799995414,101
full,30,5000101,base,near,2,0,0,0,2,0,1.56,0.10154327853153333,29.763499998807674,101
no_ph_rate_bonus,30,5000101,base,near,2,1,0,0,4,0,1.7,0.07358708819272941,23.722699997961172,101
no_uncertainty_factor,30,5000101,base,near,2,1,0,0,2,0,1.64,0.08559547713540283,34.097650001058355,101
no_buffering_factor,30,5000101,base,near,2,1,0,0,2,0,1.57,0.09955392816752173,24.99609999722452,101
no_required_volume_term,30,5000101,base,near,2,0,0,0,2,0,1.56,0.10154327853153333,32.970449996355455,101
linear_clip_instead_of_tanh,30,5000101,base,near,2,1,1,0,3,0,1.83,0.047441975070402265,28.085900002527826,101
full,31,5000101,acid,medium,2,1,0,0,4,2,7.13,0.08631860439200167,77.93662500444043,101
no_ph_rate_bonus,31,5000101,acid,medium,2,1,0,0,5,5,5.8100000000000005,0.07501888374476717,80.78137999837054,101
no_uncertainty_factor,31,5000101,acid,medium,2,1,0,0,6,3,8.94,0.08609574743088722,77.26399999955902,101
no_buffering_factor,31,5000101,acid,medium,2,1,0,0,4,2,7.47,0.09089351776473009,87.72189999945113,101
no_required_volume_term,31,5000101,acid,medium,2,1,0,0,4,2,6.27,0.07440210036698236,88.28854999774194,101
linear_clip_instead_of_tanh,31,5000101,acid,medium,2,1,0,0,4,2,8.02,0.08321628006142046,62.74114999723679,101
full,32,5000101,base,medium,3,1,1,0,3,2,5.71,0.045026175032814475,40.08703333480904,101
no_ph_rate_bonus,32,5000101,base,medium,3,1,0,0,2,1,3.93,0.07039512452439967,34.177549998275936,101
no_uncertainty_factor,32,5000101,base,medium,3,1,1,0,3,3,6.880000000000001,0.02682808364892031,45.070800001364354,101
no_buffering_factor,32,5000101,base,medium,3,1,1,0,3,2,5.98,0.01697557545449735,47.004700002920195,101
no_required_volume_term,32,5000101,base,medium,3,1,1,0,2,1,4.57,0.02975614595840126,70.27949999610428,101
linear_clip_instead_of_tanh,32,5000101,base,medium,3,1,1,0,3,3,6.37,0.03154992230394038,58.60936666916435,101
full,33,5000101,base,near,3,1,0,0,5,0,3.51,0.08994507097910853,24.002000004111324,101
no_ph_rate_bonus,33,5000101,base,near,3,1,0,0,8,0,3.56,0.08485405937207124,25.235562503439724,101
no_uncertainty_factor,33,5000101,base,near,3,1,0,0,5,0,3.67,0.07369363012188623,24.494099999719765,101
no_buffering_factor,33,5000101,base,near,3,1,0,0,5,0,3.54,0.08688910039982778,13.397140000597574,101
no_required_volume_term,33,5000101,base,near,3,1,0,0,5,0,3.51,0.08994507097910853,18.182800001522992,101
linear_clip_instead_of_tanh,33,5000101,base,near,3,1,0,0,5,0,3.4899999999999998,0.09198466342753564,27.787700001499616,101
full,34,5000101,base,far,1,0,0,1,50,46,24.389999999999993,0.600059353265542,74.95752800081391,101
no_ph_rate_bonus,34,5000101,base,far,1,0,0,1,50,47,14.919999999999991,3.39315867457831,72.3882180005603,101
no_uncertainty_factor,34,5000101,base,far,1,0,0,1,50,45,24.819999999999993,3.244667284996816,74.24726599972928,101
no_buffering_factor,34,5000101,base,far,1,0,0,1,50,43,24.71999999999999,3.2459394614181223,76.47747200040612,101
no_required_volume_term,34,5000101,base,far,1,0,0,1,50,44,22.429999999999993,0.608374527445334,70.68455200045719,101
linear_clip_instead_of_tanh,34,5000101,base,far,1,0,0,1,50,43,28.199999999999992,3.2037236072743953,73.70422600011807,101
full,35,5000101,acid,medium,1,1,0,0,4,1,6.8,0.07402450622038792,40.4979499962792,101
no_ph_rate_bonus,35,5000101,acid,medium,1,1,0,0,3,1,3.9299999999999997,0.0788552210073048,43.67686666713174,101
no_uncertainty_factor,35,5000101,acid,medium,1,1,0,0,4,1,7.67,0.07107988767083118,43.91705000125512,101
no_buffering_factor,35,5000101,acid,medium,1,1,0,0,4,1,7.03,0.07594296708889203,42.85832500136166,101
no_required_volume_term,35,5000101,acid,medium,1,1,0,0,2,1,3.02,0.0646223618174071,49.7352000020328,101
linear_clip_instead_of_tanh,35,5000101,acid,medium,1,1,0,0,4,1,7.5200000000000005,0.09449757988033713,45.35307499645569,101
full,36,5000101,acid,far,1,1,0,0,17,10,18.869999999999997,0.06570295351723754,74.04176470642115,101
no_ph_rate_bonus,36,5000101,acid,far,1,1,1,0,14,8,13.150000000000002,0.00718596766346824,73.08245714323546,101
no_uncertainty_factor,36,5000101,acid,far,1,1,0,0,13,8,19.569999999999997,0.07194646743436817,65.61823076873014,101
no_buffering_factor,36,5000101,acid,far,1,1,0,0,16,10,18.909999999999997,0.06606430591169055,72.1598062486919,101
no_required_volume_term,36,5000101,acid,far,1,1,0,0,17,10,18.229999999999997,0.059843170004021395,70.81434705940089,101
linear_clip_instead_of_tanh,36,5000101,acid,far,1,1,0,0,15,8,21.790000000000003,0.09069932652414092,70.15087999946748,101
full,37,5000101,base,far,3,0,0,0,50,44,16.449999999999992,0.16007446823691307,67.92974400086678,101
no_ph_rate_bonus,37,5000101,base,far,3,0,0,0,50,46,8.60999999999999,0.15971369124147738,46.50181000033626,101
no_uncertainty_factor,37,5000101,base,far,3,0,0,0,50,45,17.239999999999988,0.18529594454329956,71.1080579998088,101
no_buffering_factor,37,5000101,base,far,3,0,0,0,50,42,16.609999999999992,0.16008181893764029,72.25069400083157,101
no_required_volume_term,37,5000101,base,far,3,0,0,0,50,44,16.449999999999992,0.16007446823691307,73.35975200054236,101
linear_clip_instead_of_tanh,37,5000101,base,far,3,0,0,0,50,47,17.89999999999999,0.18512399089624498,72.98712600008002,101
full,38,5000101,acid,medium,1,1,1,0,2,2,6.1499999999999995,0.030176156439540414,77.22584999646642,101
no_ph_rate_bonus,38,5000101,acid,medium,1,1,0,0,8,7,5.75,0.0668878578671448,69.08425000165153,101
no_uncertainty_factor,38,5000101,acid,medium,1,1,0,0,11,6,12.680000000000001,0.07235055477320085,71.28388181908204,101
no_buffering_factor,38,5000101,acid,medium,1,1,0,0,5,3,6.73,0.06676565451803373,63.80158000101801,101
no_required_volume_term,38,5000101,acid,medium,1,1,1,0,2,2,6.1499999999999995,0.030176156439540414,83.33410000341246,101
linear_clip_instead_of_tanh,38,5000101,acid,medium,1,1,0,0,9,6,12.059999999999999,0.07230928414736493,68.2473111107053,101
full,39,5000101,base,medium,1,1,0,0,6,0,6.97,0.07271172013541971,19.878766668019427,101
no_ph_rate_bonus,39,5000101,base,medium,1,1,0,0,9,0,6.95,0.07606848899732199,17.937822221332073,101
no_uncertainty_factor,39,5000101,base,medium,1,1,0,0,5,0,6.86,0.09101980751129801,19.939900003373623,101
no_buffering_factor,39,5000101,base,medium,1,1,0,0,6,0,7.029999999999999,0.06256376470793157,19.74569999826296,101
no_required_volume_term,39,5000101,base,medium,1,1,0,0,6,0,6.97,0.07271172013541971,22.318116665701382,101
linear_clip_instead_of_tanh,39,5000101,base,medium,1,1,0,0,6,0,6.970000000000001,0.07271172013541971,15.94410000204031,101
full,40,5000101,acid,far,1,1,1,0,8,3,15.589999999999998,0.009289826292616876,68.18946250041336,101
no_ph_rate_bonus,40,5000101,acid,far,1,1,0,0,7,4,15.290000000000001,0.09293257410952149,73.82307142792602,101
