method,method_label,training_seed,evaluation_seed,tasks,success_rate_percent,strict_success_rate_percent,severe_failure_rate_percent,false_stop_rate_percent,successful_steps_mean,steps_mean,overshoots_mean,total_volume_mean_ml,final_abs_error_mean
ppo_from_pf_imitation,PPO from PF imitation,555,902,3000,88.16666666666667,32.53333333333333,4.133333333333333,2.966666666666667,8.021928166351607,12.046333333333333,3.998,7.929286666666665,0.13409302559116368
ppo_from_pf_imitation,PPO from PF imitation,555,903,3000,89.03333333333333,32.96666666666667,3.0666666666666664,2.933333333333333,7.956196181205541,11.534666666666666,3.709,8.080133333333334,0.11391805611361065
ppo_from_pf_imitation,PPO from PF imitation,555,904,3000,88.1,33.800000000000004,3.8666666666666667,3.2,7.932652289065456,11.911333333333333,3.738,7.8237033333333335,0.1304677224131359
ppo_from_pf_imitation,PPO from PF imitation,555,905,3000,88.0,32.83333333333333,3.833333333333333,3.166666666666667,8.377651515151515,12.404,3.771333333333333,7.967929999999999,0.12112885377227255
random_actor_untrained,Untrained random actor,555,901,3000,34.66666666666667,18.3,48.833333333333336,0.5,4.498076923076923,7.999,4.437333333333333,39.84809333333333,1.453449954049612
random_actor_untrained,Untrained random actor,555,902,3000,33.800000000000004,17.2,49.8,0.4333333333333333,4.629191321499014,8.123333333333333,4.54,40.394533333333335,1.5216219199694354
random_actor_untrained,Untrained random actor,555,903,3000,35.03333333333333,17.833333333333336,49.266666666666666,0.5333333333333333,4.696479543292103,8.056,4.476333333333334,40.218446666666665,1.4398144514532507
random_actor_untrained,Untrained random actor,555,904,3000,33.7,17.433333333333334,48.8,0.46666666666666673,4.629080118694362,8.112666666666666,4.488666666666667,40.53223333333333,1.4865789251482098
random_actor_untrained,Untrained random actor,555,905,3000,34.13333333333333,18.0,48.66666666666667,0.33333333333333337,4.6494140625,8.13,4.484666666666667,40.49365333333333,1.4709145011204254
ppo_from_random,PPO from random actor,555,901,3000,85.73333333333333,39.166666666666664,10.133333333333333,1.3666666666666667,11.147744945567652,16.111666666666668,7.921666666666667,14.841526666666667,0.3036631110699334
ppo_from_random,PPO from random actor,555,902,3000,84.73333333333333,40.13333333333333,10.833333333333334,1.3333333333333335,11.288749016522424,16.575,8.331333333333333,15.340036666666666,0.31926743962763243
ppo_from_random,PPO from random actor,555,903,3000,84.76666666666667,40.56666666666667,10.366666666666667,1.6,11.33936295713724,16.504,8.052666666666667,15.395820000000002,0.3023984343620146
ppo_from_random,PPO from random actor,555,904,3000,84.93333333333334,41.43333333333333,10.8,1.3333333333333335,10.81397174254317,16.142,7.973,14.889506666666668,0.3270828026868265
ppo_from_random,PPO from random actor,555,905,3000,84.96666666666667,39.900000000000006,10.533333333333333,1.6666666666666667,11.099646920360925,16.213,7.910666666666667,14.952460000000002,0.3116815311843851
