mixture,system,checkpoint,naoh_volume_ml,measured_titration_linear_interpolation_ph,pf_posterior_mean_ph,pf_credible_lower_2p5_ph,pf_credible_upper_97p5_ph
3,pHBA + SSA,0,4.76,8.3136,5.699997055202361,1.6276041530447718,12.287482130388945
3,pHBA + SSA,0,4.78,8.3658,5.708098714796701,1.6288495816133155,12.29039920780719
3,pHBA + SSA,0,4.8,8.418,5.7186825591345425,1.6300944850701375,12.293289946228587
3,pHBA + SSA,0,4.82,8.4702,5.72925932170357,1.6313388663025363,12.296154763961347
3,pHBA + SSA,0,4.84,8.5224,5.7429600669873455,1.6325827281964607,12.298994069588979
3,pHBA + SSA,0,4.86,8.5746,5.761185065038696,1.6338260736365218,12.301808262268775
3,pHBA + SSA,0,4.88,8.6268,5.771064183934067,1.6349200593980395,12.304597732018813
3,pHBA + SSA,0,4.9,8.679,5.780103473765026,1.6359102521273425,12.307362859994132
3,pHBA + SSA,0,4.92,8.7312,5.788377485990881,1.6368992422680595,12.310104018752575
3,pHBA + SSA,0,4.94,8.7834,5.796399174762113,1.6378870334633002,12.312821572510646
3,pHBA + SSA,0,4.96,8.8356,5.8043974622181125,1.6388736293487325,12.315515877390204
3,pHBA + SSA,0,4.98,8.8878,5.814725323372439,1.6398590335525696,12.31818728165571
3,pHBA + SSA,0,5.0,8.94,5.824414608290494,1.6408432496955596,12.320836125943142
3,pHBA + SSA,0,5.0200000000000005,8.9544,5.832279146603876,1.6418262813909745,12.32346274348054
3,pHBA + SSA,0,5.04,8.9688,5.843234773705669,1.6428081322445989,12.326067460300646
3,pHBA + SSA,0,5.0600000000000005,8.9832,5.851116439963913,1.6437888058547236,12.32865059544596
3,pHBA + SSA,0,5.08,8.9976,5.858525813894704,1.6447683058121298,12.33121246116659
3,pHBA + SSA,0,5.1000000000000005,9.012,5.865956572794783,1.6457466357000894,12.33375336311109
3,pHBA + SSA,0,5.12,9.026399999999999,5.873526752096004,1.646723799094342,12.336273600510708
3,pHBA + SSA,0,5.14,9.040799999999999,5.881394169879048,1.6476997995631057,12.338773466357214
3,pHBA + SSA,0,5.16,9.0552,5.890956129611741,1.648674640667053,12.341253247574635
3,pHBA + SSA,0,5.18,9.0696,5.90973167504966,1.6496483259593102,12.343713225185105
3,pHBA + SSA,0,5.2,9.084,5.9198809832315025,1.6506208589854512,12.346153674469122
3,pHBA + SSA,0,5.22,9.0984,5.9281959078642465,1.6515922432834875,12.348574865120362
3,pHBA + SSA,0,5.24,9.1128,5.937307372052428,1.6525624823838663,12.350977061395355
3,pHBA + SSA,0,5.26,9.1272,5.945140731881573,1.6535315798094592,12.353360522258157
3,pHBA + SSA,0,5.28,9.1416,5.953039352747485,1.654499539075562,12.35572550152025
3,pHBA + SSA,0,5.3,9.155999999999999,5.963028127310567,1.6554663636898859,12.35807224797587
3,pHBA + SSA,0,5.32,9.1704,5.972857544481565,1.6564320571525548,12.360401005532896
3,pHBA + SSA,0,5.34,9.1848,5.981121573281374,1.6573966229561008,12.362712013339522
3,pHBA + SSA,0,5.36,9.1992,5.990057398793412,1.6583600645854588,12.365005505906854
3,pHBA + SSA,0,5.38,9.2136,6.005080753632405,1.6593223855179642,12.367281713227555
3,pHBA + SSA,0,5.4,9.228,6.01910497287602,1.6602835892233498,12.369540860890787
3,pHBA + SSA,0,5.42,9.2424,6.032995401203212,1.661243679163741,12.371783170193435
3,pHBA + SSA,0,5.44,9.2568,6.041431274176505,1.6622026587936563,12.374008858247944
3,pHBA + SSA,0,5.46,9.2712,6.049134236549485,1.6631605315600022,12.376218138086692
3,pHBA + SSA,0,5.48,9.2856,6.056691116714837,1.6641173009020709,12.378411218763226
3,pHBA + SSA,0,5.5,9.3,6.064293289179368,1.6650729702515443,12.380588305450303
3,pHBA + SSA,0,5.5200000000000005,9.314400000000001,6.071846328549724,1.6660275430324862,12.382749599534957
