family,policy,training_seed,domain,benchmark_seed,checkpoint_sha256,tasks,success_rate_percent,strict_success_rate_percent,severe_failure_rate_percent,false_stop_rate_percent,successful_additions_mean,additions_per_task_mean,overshoots_per_task_mean,total_volume_mean_ml,final_abs_error_mean
F2,imitation,,sequential_k123,101,d5c99681b0e52f19900a93250db79f19822576e8e03ac360373f4519504744a1,3000,86.66666666666667,33.63333333333333,4.3999999999999995,3.0666666666666664,7.846923076923077,12.556,4.101666666666667,7.7598199999999995,0.14691688703755387
F2,imitation,,sequential_k123,202,d5c99681b0e52f19900a93250db79f19822576e8e03ac360373f4519504744a1,3000,86.93333333333332,32.96666666666667,3.933333333333333,3.0666666666666664,7.92638036809816,12.440333333333333,3.816,7.499813333333332,0.12796656861971745
F2,imitation,,sequential_k123,303,d5c99681b0e52f19900a93250db79f19822576e8e03ac360373f4519504744a1,3000,86.93333333333332,33.7,3.4666666666666663,3.033333333333333,7.943251533742331,12.460666666666667,3.7023333333333333,7.64771,0.12466273221362269
F2,imitation,,sequential_k123,404,d5c99681b0e52f19900a93250db79f19822576e8e03ac360373f4519504744a1,3000,87.13333333333333,34.36666666666667,3.6333333333333337,2.666666666666667,8.108263198163733,12.709666666666667,3.816333333333333,7.607729999999999,0.1291854637248665
F2,imitation,,sequential_k123,555,d5c99681b0e52f19900a93250db79f19822576e8e03ac360373f4519504744a1,3000,87.4,33.766666666666666,3.8666666666666667,2.7,7.863844393592677,12.418,3.937,7.824519999999999,0.13256960678383065
F2,ppo_seed_101,101,sequential_k123,101,68b82abfab355d332abbc0dff2ec3561dcc737e3938f9476f0f2f69fe30081ba,3000,88.23333333333333,40.03333333333333,4.666666666666667,1.5,5.96637703060068,10.332666666666666,3.3503333333333334,8.497926666666666,0.14377602802850115
F2,ppo_seed_101,101,sequential_k123,202,68b82abfab355d332abbc0dff2ec3561dcc737e3938f9476f0f2f69fe30081ba,3000,87.9,39.266666666666666,4.1000000000000005,1.8333333333333333,6.079635949943117,10.358,3.2683333333333335,8.09022,0.13334488070275424
F2,ppo_seed_101,101,sequential_k123,303,68b82abfab355d332abbc0dff2ec3561dcc737e3938f9476f0f2f69fe30081ba,3000,88.43333333333334,39.666666666666664,4.133333333333333,1.7333333333333332,5.880135695439126,9.958,2.93,8.200316666666668,0.13489284216885866
F2,ppo_seed_101,101,sequential_k123,404,68b82abfab355d332abbc0dff2ec3561dcc737e3938f9476f0f2f69fe30081ba,3000,89.03333333333333,38.86666666666667,4.033333333333333,1.4333333333333333,6.040434294271808,10.071333333333333,3.079,8.12046,0.13087711983365516
F2,ppo_seed_101,101,sequential_k123,555,68b82abfab355d332abbc0dff2ec3561dcc737e3938f9476f0f2f69fe30081ba,3000,88.26666666666667,41.46666666666667,4.1000000000000005,1.7999999999999998,5.830815709969788,10.088,3.172,8.335813333333334,0.12986924880448766
F2,ppo_seed_202,202,sequential_k123,101,ca1157773e58fffee35ca5cece12d43de81993cbcbb89414fd20ccf546acef79,3000,88.63333333333333,36.86666666666667,6.2,1.5,6.1985708913125235,10.353666666666667,4.607666666666667,8.360199999999999,0.17507156789792833
F2,ppo_seed_202,202,sequential_k123,202,ca1157773e58fffee35ca5cece12d43de81993cbcbb89414fd20ccf546acef79,3000,88.9,38.766666666666666,5.766666666666667,1.9333333333333333,5.85901762279715,9.726666666666667,4.429666666666667,8.122246666666666,0.1633567774822253
F2,ppo_seed_202,202,sequential_k123,303,ca1157773e58fffee35ca5cece12d43de81993cbcbb89414fd20ccf546acef79,3000,88.76666666666667,38.266666666666666,5.066666666666666,1.7666666666666668,5.994367254975591,10.002333333333333,4.432666666666667,8.315656666666667,0.14767241003302453
F2,ppo_seed_202,202,sequential_k123,404,ca1157773e58fffee35ca5cece12d43de81993cbcbb89414fd20ccf546acef79,3000,88.4,39.63333333333333,5.433333333333333,1.5,5.804675716440422,10.034333333333333,4.426,8.164783333333332,0.16517081683884433
F2,ppo_seed_202,202,sequential_k123,555,ca1157773e58fffee35ca5cece12d43de81993cbcbb89414fd20ccf546acef79,3000,88.7,39.1,5.333333333333334,1.5666666666666667,6.078541901540774,10.185666666666666,4.580333333333333,8.358596666666667,0.1560341257588651
F2,ppo_seed_303,303,sequential_k123,101,469b69cf65631b3063a96ebcd065c3273c7dce1b5664fec4f2becd91ffa94b10,3000,91.2,40.96666666666667,4.3,1.7666666666666668,5.599415204678363,8.481,3.1483333333333334,8.39632,0.1494689140849728
F2,ppo_seed_303,303,sequential_k123,202,469b69cf65631b3063a96ebcd065c3273c7dce1b5664fec4f2becd91ffa94b10,3000,91.46666666666667,43.0,3.6999999999999997,1.7000000000000002,5.5608600583090375,8.342,3.1943333333333332,8.210863333333334,0.1379309044473463
F2,ppo_seed_303,303,sequential_k123,303,469b69cf65631b3063a96ebcd065c3273c7dce1b5664fec4f2becd91ffa94b10,3000,91.86666666666666,42.56666666666667,3.8,1.866666666666667,5.5751088534107405,7.992333333333334,2.8593333333333333,8.4036,0.139626686951501
F2,ppo_seed_303,303,sequential_k123,404,469b69cf65631b3063a96ebcd065c3273c7dce1b5664fec4f2becd91ffa94b10,3000,91.56666666666666,41.36666666666667,4.0,1.7333333333333332,5.722606479796141,8.303666666666667,2.964,8.4827,0.14971851840626305
