regime,benchmark_seed,method,tasks,success_rate_percent,strict_success_rate_percent,severe_failure_rate_percent,false_stop_rate_percent,steps_mean,successful_steps_mean,crossings_mean,total_volume_mean_ml,final_abs_error_mean,controller_time_ms_per_step_mean
response_fraction_0p60,202,new_pf,1000,33.7,17.4,28.999999999999996,31.8,22.146,10.543026706231455,1.113,8.131119999999996,0.7092066027378929,104.8691758823886
response_fraction_0p60,202,new_ppo,1000,43.1,23.7,20.200000000000003,52.800000000000004,9.142,8.116009280742459,2.434,10.87515,0.36627448381441674,0.3172475773874242
response_fraction_0p60,303,new_pf,1000,37.2,18.3,26.8,30.2,21.224,9.911290322580646,1.079,8.212569999999996,0.6613894929310383,150.49921138557306
response_fraction_0p60,303,new_ppo,1000,42.5,23.799999999999997,18.5,53.2,9.456,8.607058823529412,2.46,11.09858,0.3473985465505831,0.44263450955306394
response_fraction_0p60,404,new_pf,1000,37.6,16.8,26.6,30.7,20.995,10.311170212765957,1.065,7.851739999999996,0.6597203130865493,112.72337281122876
response_fraction_0p60,404,new_ppo,1000,42.4,24.0,19.2,53.300000000000004,9.108,7.90566037735849,2.474,10.60028,0.36088241965560813,0.32644255364956726
response_fraction_0p60,555,new_pf,1000,35.4,18.7,24.0,34.1,20.552,10.892655367231638,1.082,7.937949999999996,0.6416805057622476,110.17666240475248
response_fraction_0p60,555,new_ppo,1000,42.199999999999996,22.3,16.900000000000002,53.6,9.381,8.341232227488153,2.61,10.897669999999998,0.32648712371488947,0.3377606079839166
response_fraction_0p70,101,new_pf,1000,57.699999999999996,27.3,8.6,35.099999999999994,12.959,10.94627383015598,1.465,8.180539999999999,0.17673610555470445,116.82692213668489
response_fraction_0p70,101,new_ppo,1000,52.300000000000004,28.7,14.2,42.6,8.824,7.307839388145315,2.673,10.568389999999999,0.29454428166135216,0.35920276684766406
response_fraction_0p70,202,new_pf,1000,59.8,26.8,9.8,31.2,14.305,11.91304347826087,1.474,8.226339999999999,0.18335529934795278,115.57204180230913
response_fraction_0p70,202,new_ppo,1000,51.0,27.700000000000003,14.799999999999999,43.6,9.038,7.186274509803922,2.662,10.66041,0.3064746798490697,0.34975097017238854
response_fraction_0p70,303,new_pf,1000,60.8,30.3,9.9,31.2,13.399,11.574013157894736,1.423,8.21589,0.19256720929002255,114.68484131489583
response_fraction_0p70,303,new_ppo,1000,54.400000000000006,30.7,13.4,40.300000000000004,9.137,7.185661764705882,2.621,10.87729,0.3038432339385224,0.34280557468234985
response_fraction_0p70,404,new_pf,1000,61.5,28.1,7.5,29.799999999999997,13.927,11.49430894308943,1.439,7.91651,0.17930103628653057,112.6387723358879
response_fraction_0p70,404,new_ppo,1000,51.4,27.0,14.6,43.0,9.208,7.583657587548638,2.687,10.374109999999998,0.2986286650003995,0.36540743608456117
response_fraction_0p70,555,new_pf,1000,58.8,28.000000000000004,7.3,34.0,12.86,11.608843537414966,1.409,8.00667,0.18187376682574388,115.37655448762726
response_fraction_0p70,555,new_ppo,1000,51.6,26.5,12.7,42.4,9.076,7.515503875968992,2.777,10.527470000000001,0.2783444975559295,0.3405499711448164
actuator_log_sd_0p10,101,new_pf,1000,97.89999999999999,44.9,0.7000000000000001,0.8999999999999999,5.818,5.2727272727272725,2.696,7.957239784938425,0.06248676442210219,134.98714939749146
actuator_log_sd_0p10,101,new_ppo,1000,95.5,46.6,1.4000000000000001,1.7000000000000002,7.316,6.170680628272251,2.571,8.5398716336926,0.08265307515778614,0.3388366005005281
actuator_log_sd_0p10,202,new_pf,1000,97.8,43.2,0.4,1.2,5.892,5.58282208588957,2.824,8.032832026920481,0.06223580804059004,137.145005347981
actuator_log_sd_0p10,202,new_ppo,1000,94.8,42.699999999999996,2.1,1.6,7.575,6.25,2.767,8.741040862093833,0.09686848798947213,0.3469109671579681
actuator_log_sd_0p10,303,new_pf,1000,97.1,40.9,0.3,1.7999999999999998,5.684,5.2584963954685895,2.512,8.001602291509332,0.05845806952601825,134.0667720527981
actuator_log_sd_0p10,303,new_ppo,1000,95.1,42.4,2.1,1.0,7.541,6.087276550998949,2.674,8.736759519923293,0.09316079760367367,0.3512494991528953
