algorithm,initialization,seed,environment_steps,tasks,success_rate_percent,strict_success_rate_percent,severe_failure_rate_percent,false_stop_rate_percent,successful_steps_mean,successful_steps_sd_task,steps_mean,overshoots_mean,total_volume_mean_ml,final_abs_error_mean
ppo,random,555,15049,1000,60.4,25.7,33.900000000000006,0.0,14.152317880794701,12.425698692026124,28.348,17.883,88.11723,0.9489241247346905
ppo,random,555,20023,1000,52.300000000000004,24.3,37.2,0.0,10.933078393881454,9.975319903241376,29.568,20.55,75.39936000000002,1.0029824955337465
ppo,random,555,25009,1000,47.0,18.4,47.5,0.0,19.238297872340425,14.999027021627699,35.542,3.891,20.52471000000001,1.2598757215244238
reinforce,imitation,101,0,1000,88.0,35.099999999999994,6.5,0.0,7.7102272727272725,3.944309123887777,12.785,7.179,20.35947,0.13113851865977777
reinforce,imitation,101,5027,1000,88.6,34.0,5.6000000000000005,0.0,7.738148984198646,4.165672274246102,12.556,7.135,20.18383,0.12000263145972641
reinforce,imitation,101,10013,1000,88.6,31.8,6.0,0.0,7.678329571106095,4.161339952571128,12.503,6.841,20.034830000000003,0.12032700223850405
reinforce,imitation,101,15002,1000,88.0,32.1,5.8999999999999995,0.0,7.663636363636364,4.249129786253672,12.744,6.713,20.032820000000005,0.12715521840593955
reinforce,imitation,101,20032,1000,83.89999999999999,30.0,11.5,0.0,7.721096543504172,4.411248448829772,14.528,5.705,19.344340000000003,0.3085850624470505
reinforce,imitation,101,25033,1000,69.1,23.200000000000003,29.099999999999998,0.0,6.626628075253256,3.4631957352425147,20.029,3.377,14.622280000000002,1.2944468343153532
reinforce,random,101,0,1000,19.900000000000002,2.3,75.8,0.0,20.809045226130653,16.906567924413068,44.191,0.233,7.5124699999999995,3.0229818994411644
reinforce,random,101,5040,1000,19.900000000000002,2.3,75.8,0.0,20.809045226130653,16.906567924413068,44.191,0.233,7.5124699999999995,3.0229818994411644
reinforce,random,101,10035,1000,19.900000000000002,2.3,75.8,0.0,20.809045226130653,16.906567924413068,44.191,0.233,7.5124699999999995,3.0229818994411644
reinforce,random,101,15045,1000,19.900000000000002,2.3,75.8,0.0,20.809045226130653,16.906567924413068,44.191,0.233,7.5124699999999995,3.0229818994411644
reinforce,random,101,20007,1000,18.5,2.0,77.0,0.0,22.54054054054054,16.916988172741114,44.92,0.04,7.9672399999999985,3.0793734092533125
reinforce,random,101,25032,1000,18.0,4.7,70.89999999999999,0.0,13.4,14.49314999053155,43.412,16.022,164.51066,2.00771130790915
reinforce,imitation,202,0,1000,88.2,36.0,6.0,0.0,7.524943310657596,4.090901180821105,12.537,7.138,19.569840000000003,0.1266205468694867
reinforce,imitation,202,5033,1000,85.7,33.800000000000004,8.4,0.0,9.21703617269545,8.279974665287458,15.049,6.876,17.941800000000004,0.1610513888001995
reinforce,imitation,202,10006,1000,81.5,31.2,12.5,0.0,9.587730061349694,9.675031652146734,17.064,6.204,17.156470000000002,0.2821567935056655
reinforce,imitation,202,15003,1000,80.7,31.5,12.8,0.0,9.432465923172243,9.408964984282289,17.262,6.241,17.260150000000003,0.2910975606244142
reinforce,imitation,202,20003,1000,77.10000000000001,27.700000000000003,17.1,0.0,8.415045395590143,7.703868607648406,17.938,5.853,16.948300000000003,0.40393580226232745
reinforce,imitation,202,25006,1000,74.6,26.1,19.8,0.0,8.971849865951743,9.669464068155431,19.393,5.452,16.216730000000002,0.4559827141274829
reinforce,random,202,0,1000,31.900000000000002,10.7,53.6,0.0,9.818181818181818,10.432992923313394,37.182,16.86,45.22631,2.488877512675108
reinforce,random,202,5034,1000,37.0,17.299999999999997,56.699999999999996,0.0,10.58918918918919,10.812964811414625,35.418,6.298,24.372269999999993,3.1011469455532725
