"spectrum_number","wavelength_nm","absorbance"
"8","761.0152588","0.05590703"
"9","761.0152588","0.04028372467"
"10","761.0152588","0.032905445"
"11","761.0152588","0.019114347"
"1","759.9932251","0.090820543"
"2","759.9932251","0.092388757"
"3","759.9932251","0.087102979"
"4","759.9932251","0.088403381"
"5","759.9932251","0.088163659"
"6","759.9932251","0.081255816"
"7","759.9932251","0.063796058"
"8","759.9932251","0.057445519"
"9","759.9932251","0.04061638191"
"10","759.9932251","0.029071625"
"11","759.9932251","0.016755208"
"1","759.0061035","0.089550368"
"2","759.0061035","0.09183871"
"3","759.0061035","0.087427706"
"4","759.0061035","0.087709688"
"5","759.0061035","0.088187322"
"6","759.0061035","0.080348685"
"7","759.0061035","0.061834488"
"8","759.0061035","0.0559595"
"9","759.0061035","0.04093686119"
"10","759.0061035","0.030558489"
"11","759.0061035","0.016805522"
"1","757.9833984","0.090635143"
"2","757.9833984","0.09255451"
"3","757.9833984","0.085898787"
"4","757.9833984","0.089633986"
"5","757.9833984","0.087674648"
"6","757.9833984","0.082726479"
"7","757.9833984","0.06409514"
"8","757.9833984","0.057560973"
"9","757.9833984","0.04040927812"
"10","757.9833984","0.030180551"
"11","757.9833984","0.016552236"
"1","756.9955444","0.091068245"
"2","756.9955444","0.093289807"
"3","756.9955444","0.086276382"
"4","756.9955444","0.088769123"
"5","756.9955444","0.087125093"
"6","756.9955444","0.080794811"
"7","756.9955444","0.063863911"
"8","756.9955444","0.057629932"
"9","756.9955444","0.04022252187"
"10","756.9955444","0.032343764"
"11","756.9955444","0.018476013"
"1","756.0073242","0.09093871"
"2","756.0073242","0.089416169"
"3","756.0073242","0.085689805"
"4","756.0073242","0.088443168"
"5","756.0073242","0.086533986"
"6","756.0073242","0.079739109"
"7","756.0073242","0.061368201"
"8","756.0073242","0.056815982"
"9","756.0073242","0.04073734209"
"10","756.0073242","0.031799156"
"11","756.0073242","0.018103449"
"1","754.9833984","0.090844192"
"2","754.9833984","0.092126191"
"3","754.9833984","0.087770738"
"4","754.9833984","0.090439618"
"5","754.9833984","0.08750733"
"6","754.9833984","0.081160411"
"7","754.9833984","0.063794203"
"8","754.9833984","0.058417723"
"9","754.9833984","0.04090133682"
"10","754.9833984","0.031962071"
"11","754.9833984","0.019090381"
"1","753.9944458","0.089756384"
"2","753.9944458","0.09020406"
"3","753.9944458","0.086461991"
"4","753.9944458","0.089122623"
"5","753.9944458","0.089367546"
"6","753.9944458","0.082545251"
"7","753.9944458","0.062441729"
"8","753.9944458","0.057136569"
"9","753.9944458","0.04189177603"
"10","753.9944458","0.031679686"
"11","753.9944458","0.018038549"
"1","753.005188","0.08751826"
"2","753.005188","0.090401173"
