experiment,acid_type,true_buffer_count,steps_taken,success,final_pH,target_pH,final_abs_pH_error,final_matched_pka_mae,final_posterior_mean_std,final_unused_slot_mole_fraction
119,triprotic,3,7,True,7.45,7.39,0.0600000000000005,1.7748628978905412,0.20560173576542531,0.0
118,triprotic,3,6,True,4.41,4.5,0.08999999999999986,0.7135278407043089,0.17112106996139478,0.0
123,monoprotic,1,13,True,5.84,5.89,0.04999999999999982,0.3732545806524836,0.21401126685111568,0.9065019794759204
125,monoprotic,1,11,True,6.91,6.95,0.040000000000000036,0.09425771300144703,0.1991920612131534,0.23229000299197625
121,monoprotic,1,21,True,8.05,8.07,0.019999999999999574,0.7907689609921058,0.20777706101977544,0.3472493519245652
124,triprotic,3,14,True,4.69,4.67,0.020000000000000462,0.7984846364239435,0.1785189300930616,0.0
127,diprotic,2,8,True,10.68,10.64,0.03999999999999915,0.9111553250230622,0.22371600684331808,0.7024088755398116
126,triprotic,3,9,True,5.66,5.58,0.08000000000000007,1.0968205994570601,0.20933662235461326,0.0
128,monoprotic,1,8,True,7.46,7.41,0.04999999999999982,0.08322231717188355,0.18942919927802157,0.5408431228646527
130,triprotic,3,1,True,3.46,3.4,0.06000000000000005,0.8902100047193323,0.20281561207427665,0.0
131,monoprotic,1,3,True,3.68,3.78,0.09999999999999964,1.0889482870210938,0.2030902854028466,0.8196214116182545
132,triprotic,3,6,True,5.38,5.46,0.08000000000000007,1.2531086125165547,0.14506830497221648,0.0
129,monoprotic,1,13,True,10.03,10.05,0.02000000000000135,0.693110160998641,0.1923949923038847,0.7106007196325229
134,diprotic,2,4,True,5.12,5.17,0.04999999999999982,0.11797744759599582,0.20523075730600282,0.3969661137264504
136,diprotic,2,3,True,4.87,4.84,0.03000000000000025,0.8100869601322478,0.21241088165416736,0.24297816215316906
135,monoprotic,1,6,True,7.15,7.21,0.05999999999999961,0.1913415525666311,0.20258290849870142,0.778193826897482
138,monoprotic,1,5,True,3.62,3.56,0.06000000000000005,0.4656671813961166,0.03436582900960638,0.9257382294049576
133,triprotic,3,10,True,8.44,8.39,0.049999999999998934,1.8154087261243443,0.1976818293778562,0.0
137,triprotic,3,8,True,8.28,8.29,0.009999999999999787,2.040739575637193,0.1933145522107087,0.0
141,diprotic,2,9,True,10.53,10.48,0.049999999999998934,0.7754186394035552,0.20114462255973886,0.26304863076113244
140,monoprotic,1,11,True,5.49,5.54,0.04999999999999982,0.06972192427128832,0.1928002113906233,0.8175427702232523
139,triprotic,3,7,True,11.03,10.95,0.08000000000000007,1.6129791281732402,0.16588688038246363,0.0
142,diprotic,2,3,True,2.44,2.47,0.03000000000000025,0.852358038364641,0.14149626703729748,0.8204275685761742
145,monoprotic,1,2,True,2.02,2.07,0.04999999999999982,0.7822713430245511,0.2104985406214882,0.6634741933457033
144,diprotic,2,9,True,10.57,10.62,0.049999999999998934,0.20283828525895564,0.18391338264201837,0.5264193890189346
143,diprotic,2,12,True,7.17,7.23,0.0600000000000005,0.29052295310876386,0.10775861452097935,0.10073459663423599
147,triprotic,3,6,True,7.65,7.75,0.09999999999999964,1.782752679621235,0.19319686318257448,0.0
146,diprotic,2,12,True,10.47,10.46,0.009999999999999787,0.5226258641937835,0.18420138489210847,0.2492054861510449
148,monoprotic,1,10,True,4.92,4.89,0.03000000000000025,0.17228340138447384,0.1546551350194938,0.5379799439352708
149,triprotic,3,8,True,8.62,8.6,0.019999999999999574,1.4387789286481931,0.21345281438367966,0.0
150,monoprotic,1,14,True,10.12,10.15,0.030000000000001137,1.269356059060124,0.1963964786311294,0.8327666724729234
151,diprotic,2,16,True,7.6,7.66,0.0600000000000005,0.3637550996392718,0.21338704554628785,0.5437614640466036
153,monoprotic,1,3,True,3.54,3.62,0.08000000000000007,0.8878215162830707,0.20545110122264423,0.849242251499173
156,diprotic,2,4,True,6.0,6.09,0.08999999999999986,1.5154932851441187,0.20513586288577998,0.2722551452552561
154,monoprotic,1,8,True,6.56,6.57,0.010000000000000675,0.8389836608489913,0.1867169075050932,0.9606631170386154
152,triprotic,3,13,True,3.87,3.96,0.08999999999999986,0.8859286963022693,0.20128632061586807,0.0
155,triprotic,3,9,True,6.94,6.85,0.09000000000000075,0.8950404240971314,0.22428807639312276,0.0
157,diprotic,2,11,True,10.3,10.25,0.05000000000000071,1.0345273279677734,0.20539822803683414,0.1564098175395465
160,triprotic,3,4,True,4.79,4.84,0.04999999999999982,1.427804759786886,0.21774696801784155,0.0
158,diprotic,2,16,True,4.34,4.41,0.07000000000000028,0.6225540938045686,0.16421102691145925,0.22506990224091675
