experiment,acid_type,target_pH,final_pH,steps,overshoots,success
358,diprotic,8.84,11.07,50,37,False
359,triprotic,10.35,10.46,50,31,False
360,diprotic,2.82,2.73,9,0,True
361,monoprotic,7.04,3.97,50,40,False
362,diprotic,8.98,9.16,50,31,False
363,diprotic,8.78,10.82,50,35,False
364,triprotic,6.6,6.56,29,0,True
365,diprotic,4.34,4.26,24,0,True
366,diprotic,9.12,9.13,40,23,True
367,monoprotic,10.51,10.49,10,2,True
368,triprotic,3.93,3.88,22,0,True
369,triprotic,2.72,2.64,17,0,True
370,monoprotic,10.24,10.2,19,8,True
371,diprotic,2.09,2.08,1,0,True
372,triprotic,5.12,5.08,34,0,True
373,diprotic,8.09,10.71,50,37,False
374,triprotic,7.62,7.55,44,0,True
375,triprotic,7.22,7.13,22,0,True
376,monoprotic,4.97,4.96,19,0,True
377,monoprotic,8.26,5.37,50,44,False
378,diprotic,4.34,4.24,21,0,True
379,monoprotic,3.67,3.58,24,0,True
380,diprotic,2.83,2.74,10,0,True
381,triprotic,6.98,6.89,40,0,True
382,diprotic,4.57,4.51,19,0,True
383,diprotic,3.44,3.35,26,0,True
384,triprotic,6.11,6.14,32,1,True
385,monoprotic,5.65,5.69,29,11,True
386,diprotic,3.56,3.5,23,0,True
387,diprotic,10.36,10.07,50,40,False
388,triprotic,6.95,6.86,27,0,True
389,diprotic,9.0,6.93,50,38,False
390,triprotic,7.71,7.65,43,0,True
391,triprotic,7.16,7.09,45,0,True
392,triprotic,8.48,8.56,33,1,True
393,monoprotic,8.32,11.08,50,43,False
394,triprotic,4.02,3.95,23,0,True
395,monoprotic,8.37,10.54,50,41,False
396,triprotic,10.14,10.78,50,31,False
397,diprotic,7.7,7.62,30,0,True
398,monoprotic,7.66,4.3,50,44,False
399,triprotic,4.78,4.7,42,0,True
400,diprotic,8.19,8.13,28,0,True
401,diprotic,7.24,7.2,28,0,True
402,diprotic,8.19,8.27,24,1,True
403,monoprotic,9.06,8.99,45,36,True
404,diprotic,9.52,8.37,50,34,False
405,monoprotic,8.91,8.93,27,17,True
406,diprotic,8.76,7.07,50,34,False
407,diprotic,4.0,3.93,25,0,True
408,diprotic,5.69,5.61,25,0,True
409,diprotic,4.32,4.25,31,0,True
410,monoprotic,4.73,4.65,18,0,True
411,triprotic,5.98,5.9,35,0,True
412,triprotic,8.78,8.76,33,0,True
413,monoprotic,8.57,11.09,50,43,False
414,diprotic,5.74,5.67,39,0,True
415,monoprotic,7.27,3.52,50,44,False
416,triprotic,5.04,4.96,25,0,True
417,diprotic,5.76,5.7,20,0,True
418,diprotic,3.61,3.54,21,0,True
419,triprotic,7.96,7.96,39,0,True
420,diprotic,4.01,3.93,24,0,True
421,diprotic,8.85,7.57,50,32,False
422,monoprotic,8.15,5.12,50,44,False
